* Project:       Hupsel
* File content:  soil heat conductivity and capacity
* File name:     heatparam.csv
* Model version: Swap 4.0.1
* Generated at:  2022-01-03 15:23:48
layer, theta,heacap(J/cm3/K),heacnd(J/cm/K/d)
   1, 0.01000,   0.13215E+01,   0.19452E+03
   1, 0.03050,   0.14071E+01,   0.36979E+03
   1, 0.05100,   0.14928E+01,   0.77206E+03
   1, 0.07150,   0.15785E+01,   0.85605E+03
   1, 0.09200,   0.16641E+01,   0.93301E+03
   1, 0.11250,   0.17498E+01,   0.10036E+04
   1, 0.13300,   0.18355E+01,   0.10684E+04
   1, 0.15350,   0.19211E+01,   0.11280E+04
   1, 0.17400,   0.20068E+01,   0.11832E+04
   1, 0.19450,   0.20925E+01,   0.12343E+04
   1, 0.21500,   0.21781E+01,   0.12819E+04
   1, 0.23550,   0.22638E+01,   0.13266E+04
   1, 0.25600,   0.23495E+01,   0.13688E+04
   1, 0.27650,   0.24351E+01,   0.14089E+04
   1, 0.29700,   0.25208E+01,   0.14474E+04
   1, 0.31750,   0.26065E+01,   0.14847E+04
   1, 0.33800,   0.26921E+01,   0.15210E+04
   1, 0.35850,   0.27778E+01,   0.15569E+04
   1, 0.37900,   0.28635E+01,   0.15926E+04
   1, 0.39950,   0.29491E+01,   0.16286E+04
   1, 0.42000,   0.30348E+01,   0.16652E+04
   2, 0.02000,   0.14514E+01,   0.22736E+03
   2, 0.03800,   0.15267E+01,   0.59096E+03
   2, 0.05600,   0.16019E+01,   0.92250E+03
   2, 0.07400,   0.16771E+01,   0.10060E+04
   2, 0.09200,   0.17523E+01,   0.10820E+04
   2, 0.11000,   0.18275E+01,   0.11513E+04
   2, 0.12800,   0.19028E+01,   0.12147E+04
   2, 0.14600,   0.19780E+01,   0.12729E+04
   2, 0.16400,   0.20532E+01,   0.13264E+04
   2, 0.18200,   0.21284E+01,   0.13759E+04
   2, 0.20000,   0.22036E+01,   0.14220E+04
   2, 0.21800,   0.22788E+01,   0.14651E+04
   2, 0.23600,   0.23541E+01,   0.15058E+04
   2, 0.25400,   0.24293E+01,   0.15444E+04
   2, 0.27200,   0.25045E+01,   0.15814E+04
   2, 0.29000,   0.25797E+01,   0.16171E+04
   2, 0.30800,   0.26549E+01,   0.16520E+04
   2, 0.32600,   0.27302E+01,   0.16863E+04
   2, 0.34400,   0.28054E+01,   0.17205E+04
   2, 0.36200,   0.28806E+01,   0.17548E+04
   2, 0.38000,   0.29558E+01,   0.17897E+04
